主キー,問題,正解選択肢,その他選択肢1,その他選択肢2,その他選択肢3,ジャンル,難易度
1,アダルトアニメのジャンル確立以前、1970年代に制作された性的描写を含む劇場アニメーション作品として知られるものは何でしょう？,千夜一夜物語,哀しみのベラドンナ,クレオパトラ,家なき子,アダルトアニメ,2
2,アダルトアニメの表現規制において、性器の露出を直接的に描写するのではなく、比喩的な表現や記号を用いる手法は何と呼ばれることが多いでしょう？,ソフトコア表現,ハードコア表現,ぼかし表現,モザイク表現,アダルトアニメ,3
3,アダルトアニメのジャンルの一つで、女性同士の同性愛を描いた作品群のうち、特に耽美的な雰囲気を持つものを指す言葉として、1990年代に広まったのは何でしょう？,ガールズラブ,レズビアン,百合,薔薇,アダルトアニメ,4
4,アダルトアニメの制作スタジオで、1980年代からOVAを中心に成人向け作品を多数手がけ、「くりいむレモン」シリーズなどを制作したことで知られるのはどこでしょう？,ピンクパイナップル,AIC,トライアングルスタッフ,J.C.STAFF,アダルトアニメ,3
5,アダルトアニメの表現規制において、モザイク処理よりも詳細な部分を隠蔽するために用いられることがある、黒いシルエットや図形で覆う処理は何と呼ばれるでしょう？,ベタ塗り,黒塗り,影処理,墨塗り,アダルトアニメ,2
6,アダルトアニメのジャンルの一つで、兄妹や姉弟など、近親者間の恋愛や性的な関係を描いた作品群を指す言葉として、特に禁断の愛を描くニュアンスが強いのは何でしょう？,インセスト,近親相姦,兄妹愛,家族愛,アダルトアニメ,4
7,アダルトアニメのキャラクターデザインにおいて、性的魅力を強調する要素として、現実のプロポーションとは異なる極端な体型やパーツが描かれることがありますが、これは一般的に何と呼ばれる傾向があるでしょう？,記号化,デフォルメ,誇張表現,劇画調,アダルトアニメ,3
8,アダルトアニメの歴史において、1980年代後半から1990年代にかけて、より過激な性描写や暴力描写を含む作品がOVAで制作されるようになり、社会現象ともなったジャンルは何でしょう？,ハードコアOVA,裏OVA,成人向けOVA,過激アニメ,アダルトアニメ,4
9,アダルトアニメのジャンルの一つで、男性同士の同性愛を描いた作品群のうち、特に男性的な魅力や力強さを強調する傾向があるのは何でしょう？,ボーイズラブ,BL,やおい,耽美,アダルトアニメ,3
10,アダルトアニメに関連するイベントで、成人向けの同人作品やグッズなどを専門に扱う即売会として、コミックマーケットとは別に開催されることがあるのは何でしょう？,COMIC1,コミティア,AnimeJapan,character1,アダルトアニメ,3
11,アダルトゲームの黎明期において、パソコンで動作するアドベンチャーゲームで、性的描写を含むことで話題となり、後のアダルトゲーム市場の礎を築いたとされる作品は何でしょう？,天使たちの午後,ナイトライフ,ドキドキ学園,レモンエンジェル,アダルトゲーム,4
12,アダルトゲームのジャンルの一つで、プレイヤーが主人公となり、複数の魅力的なヒロインと恋愛関係を深めていく過程を楽しむゲームにおいて、物語の選択肢によって結末が大きく変化するシステムは何と呼ばれるでしょう？,マルチエンディング,ギャルゲー,恋愛シミュレーション,ノベルゲーム,アダルトゲーム,2
13,アダルトゲームのプラットフォームで、家庭用ゲーム機において、性的表現を含むゲームが極めて限定的にしか発売されない主な理由は何でしょう？,倫理規定による規制,技術的な制約,市場のニーズの低さ,開発コストの高さ,アダルトゲーム,3
14,アダルトゲームの表現規制において、性的表現を和らげるために、キャラクターの立ち絵やイベントCGの一部を意図的にぼかしたり、モザイクをかけたりする処理以外に、特定の部位を別のオブジェクトで隠す手法は何と呼ばれるでしょう？,秘匿処理,隠蔽工作,伏字表現,差し替え,アダルトゲーム,3
15,アダルトゲームのジャンルの一つで、性的行為を伴うミニゲームをクリアすることで、ストーリーが進展したり、新たな性的シーンが解放されたりする形式のゲームは何と呼ばれることが多いでしょう？,エロゲパズル,脱衣ゲーム,性的ミニゲーム集,アダルトミニゲーム,アダルトゲーム,4
16,アダルトゲームのブランドで、「Fate/stay night」や「魔法使いの夜」など、重厚な世界観と魅力的なキャラクター、そして緻密なシナリオで高い評価を得ていることで知られるのはどこでしょう？,TYPE-MOON,Key,Leaf,Nitroplus,アダルトゲーム,4
17,アダルトゲームの販売形態において、インターネットの普及以前に主流であったパッケージ販売において、不正コピーを防ぐために用いられていた技術の一つは何でしょう？,プロテクト,コピーガード,DRM,シリアルコード,アダルトゲーム,3
18,アダルトゲームのジャンルの一つで、女性が主人公となり、複数の魅力的な男性キャラクターとの恋愛を楽しむゲームにおいて、攻略対象のキャラクターとの好感度によって物語が分岐するシステムは何と呼ばれるでしょう？,恋愛ADV,乙女ゲーム,女性向け恋愛ゲーム,ハーレムゲーム,アダルトゲーム,3
19,アダルトゲームに関連するイベントで、同人作品やグッズなどが販売される大規模な即売会として、主にPCゲームやコンシューマーゲームに特化したイベントとして知られるものは何でしょう？,DreamParty,コミックマーケット,東京ゲームショウ,AnimeJapan,アダルトゲーム,3
20,アダルトゲームのジャンルの一つで、プレイヤーが主人公となり、性的行為を含む冒険や戦いを繰り広げるロールプレイングゲームにおいて、キャラクターの能力値だけでなく、性的スキルや魅力を育成する要素が含まれるものは何と呼ばれることが多いでしょう？,エロRPG,性的ファンタジーRPG,アダルトアドベンチャーRPG,官能RPG,アダルトゲーム,4
21,アダルトマンガのジャンルの一つで、女性同士の恋愛や性的な関係を描いた作品群のうち、特に官能的な表現や濃厚な描写を重視する傾向があるものは何と呼ばれるでしょう？,レズビアンコミック,百合漫画,ガールズラブ,女性同性愛漫画,アダルトマンガ,3
22,アダルトマンガの表現規制において、性器の形状を曖昧にするために、点描や細かい線で覆う処理は何と呼ばれることが多いでしょう？,ハーフトーン処理,モザイク処理,スクリーントーン処理,砂目処理,アダルトマンガ,3
23,アダルトマンガのジャンルの一つで、男性同士の恋愛や性的な関係を描いた作品群のうち、特に男性の肉体美や激しい感情表現を強調する傾向があるものは何と呼ばれるでしょう？,ボーイズラブコミック,BL漫画,やおい,男性同性愛漫画,アダルトマンガ,3
24,アダルトマンガの作家で、1980年代に独特のシュールなギャグセンスとエロティックな表現で人気を博し、「シベール」などの作品で知られるのは誰でしょう？,吾妻ひでお,竹本泉,まつもと泉,江口寿史,アダルトマンガ,4
25,アダルトマンガのジャンルの一つで、人間以外の生物や異形の存在との性的な関係を描いた作品群を指す言葉として、特に獣の要素を持つキャラクターに特化したものは何でしょう？,ケモノ漫画,獣姦漫画,アニマルコミック,異種族性交漫画,アダルトマンガ,4
26,アダルトマンガの販売形態において、電子書籍の普及により、紙媒体では表現が難しかった過激な性描写が可能になった一方で、新たな表現規制の議論も生まれていますが、それはどのような形で行われることが多いでしょう？,プラットフォームごとの自主規制,政府による法的規制,業界団体によるガイドライン策定,読者からの抗議による修正,アダルトマンガ,3
27,アダルトマンガのジャンルの一つで、年齢差のあるカップルの恋愛や性的な関係を描いた作品群のうち、特に年上の女性が年下の男性を翻弄するような関係性を描いたものは何と呼ばれることが多いでしょう？,年の差恋愛,熟女攻め,年下攻め,姉御系,アダルトマンガ,3
28,アダルトマンガの歴史において、1970年代に登場し、少女漫画のような繊細な絵柄で女性の性的魅力を描く作風は、当時の若者を中心に支持を集めましたが、これは一般的に何と呼ばれる傾向があったでしょう？,エロチック少女漫画,耽美系アダルトマンガ,少女系エロマンガ,ロマンポルノコミック,アダルトマンガ,3
29,アダルトマンガのジャンルの一つで、日常的な生活の中で偶然起こる性的ハプニングや、近隣住民との秘密の関係を描いた作品群を指す言葉として、より現実的なシチュエーションを重視するものは何でしょう？,近親相姦,痴漢,盗撮,ご近所もの,アダルトマンガ,3
30,アダルトマンガに関連するイベントで、成人向けの同人作品などを専門に扱う即売会として、コミックマーケットとは別に、より小規模で多様なジャンルの作品が集まる傾向があるのは何でしょう？,COMITIA,コミックシティ,AnimeJapan,マンガ・アニメフェスティバル,アダルトマンガ,3
31,成人向け同人誌の主な販売場所として知られる同人誌即売会において、成人向け作品を取り扱うサークルに対して、年齢確認などの規制が特に厳しく行われる大規模イベントは何でしょう？,コミックマーケット,コミティア,AnimeJapan,character1,成人向け同人誌,2
32,成人向け同人誌でよく扱われるテーマの一つである二次創作において、原作のキャラクター設定や世界観を大きく逸脱し、性的表現や暴力表現を過度に強調した作品は、一部で何と呼ばれることがありますか？,ブラック本,アングラ同人誌,問題作,禁書,成人向け同人誌,4
33,成人向け同人誌の表現規制において、印刷物の自主規制として、性的描写の一部をインクの色を変えたり、文字で隠したりするなどの手法は何と呼ばれることがありますか？,墨塗り,伏せ字,自主規制線,ハーフトーン処理,成人向け同人誌,3
34,成人向け同人誌のジャンルの一つで、特定のカップリング（キャラクター同士の組み合わせ）に特化した作品の中でも、特に性的描写が中心となるものは何と呼ばれることが多いでしょう？,カップリング本,R-18本,CP本,恋愛本,成人向け同人誌,3
35,成人向け同人誌の制作において、複数の作家が共同で一つのテーマや企画に基づいて作品を制作する形式で、それぞれの個性が際立つ作品が集まるものは何と呼ばれるでしょう？,アンソロジー,合同誌,寄稿集,合作,成人向け同人誌,2
36,成人向け同人誌の購入方法として、近年利用者が増加している匿名での取引が可能な同人誌専門のオンライン通販サイトの代表的な例は何でしょう？,とらのあな,メロンブックス,BOOTH,アニメイトオンラインショップ,成人向け同人誌,3
37,成人向け同人誌のジャンルの一つで、アダルトゲーム作品を題材にした二次創作において、ゲーム本編では描かれなかった性的シーンや裏設定などを扱った作品は何と呼ばれることが多いでしょう？,ゲーム系エロ同人誌,裏設定本,アダルトゲームアンソロジー,ゲームパロディ,成人向け同人誌,3
38,成人向け同人誌の歴史において、インターネットの普及とともに登場した販売方法で、作者が自身のウェブサイトやプラットフォームを通じて直接読者に販売する形式は何と呼ばれるでしょう？,DL販売,オンライン即売会,個人通販,電子書籍販売,成人向け同人誌,2
39,成人向け同人誌のジャンルの一つで、特定の作家の過去の作品や未発表作品などをまとめたものは何と呼ばれることが多いでしょう？,個人誌,作品集,再録集,短編集,成人向け同人誌,2
40,成人向け同人誌のイベントで、女性向けの同人誌が多く集まることで知られ、BL（ボーイズラブ）ジャンルの作品が特に充実している大規模イベントは何でしょう？,コミックシティ,コミックマーケット,コミティア,J庭（JUNE BRIDE FES）,成人向け同人誌,3
41,アダルトグッズの代表的な種類の一つで、男性向けの自慰行為に使用される、内部が複雑な形状になっていることが多い玩具は何でしょう？,オナホール,バイブレーター,ローター,ディルド,アダルトグッズ,2
42,アダルトグッズの素材として、近年特に安全性と肌触りの良さから人気が高く、医療用にも用いられることがある素材は何でしょう？,シリコン,TPE,ABS樹脂,ガラス,アダルトグッズ,3
43,アダルトグッズの販売において、購入者のプライバシー保護のため、配送伝票に商品名ではなく、雑貨や日用品などと記載して送るサービスは何と呼ばれるでしょう？,品名偽装,匿名配送,プライバシー配送,シークレット便,アダルトグッズ,2
44,アダルトグッズの種類の一つで、女性器の形状を模倣した玩具のうち、特に内部の感触や刺激にこだわったリアルな製品は何と呼ばれることが多いでしょう？,リアルオナホール,女性器模型,ダッチワイフ,ラブドール,アダルトグッズ,3
45,アダルトグッズの種類の一つで、振動によって性的快感を得るための玩具のうち、女性向けで様々な形状や機能を持つものは何と呼ばれることが多いでしょう？,バイブレーター,ローター,マッサージャー,電動マッサージ器,アダルトグッズ,2
46,アダルトグッズの購入層において、近年増加している女性が、自身で使用する目的で購入するアダルトグッズの総称は何と呼ばれることがありますか？,フェムテックグッズ,セルフプレジャーグッズ,女性用セックストイ,大人女子グッズ,アダルトグッズ,3
47,アダルトグッズの種類の一つで、性的な興奮を高める効果があるとされる香りのオイルのうち、特定のフェロモンを含有すると謳われているものは何と呼ばれるでしょう？,フェロモンオイル,媚薬オイル,アロマティックオイル,マッサージオイル,アダルトグッズ,3
48,アダルトグッズの歴史において、江戸時代に性的な描写が描かれた浮世絵は何と呼ばれていましたか？,春画,艶画,秘画,枕絵,アダルトグッズ,3
49,アダルトグッズの種類の一つで、アニメやゲームのキャラクターの性的イラストがプリントされた抱き枕カバーのうち、特に添い寝をしているような感覚を味わえるように工夫されたものは何と呼ばれるでしょう？,添い寝シーツ,抱き枕カバー,等身大シーツ,キャラクター抱き枕,アダルトグッズ,2
50,アダルトグッズの保管方法として、シリコン製の玩具を保管する際に避けるべき素材は何でしょう？,他のシリコン製品,プラスチック製品,金属製品,木製製品,アダルトグッズ,3
51,AV（アダルトビデオ）の黎明期において、家庭用ビデオデッキの規格争いでVHSとシェアを争った規格は何でしょう？,ベータマックス,8ミリビデオ,レーザーディスク,VHD,AV,3
52,AVのジャンルの一つで、ストーリー仕立てで性行為を描く作品のうち、特に映画のような本格的な演出や脚本にこだわったものは何と呼ばれるでしょう？,ドラマAV,シネマAV,劇場版AV,本格AV,AV,3
53,AVの制作において、出演者のプライバシー保護のため、契約期間や撮影内容、ギャランティなどを明確に記した契約書を交わすことは一般的ですか？,一般的である,一般的ではない,一部の制作会社のみ,口約束のみ,AV,2
54,AVのジャンルの一つで、一般の人が出演する作品のうち、特に素人ならではのリアルな雰囲気を重視したものは何と呼ばれるでしょう？,素人AV,アマチュアAV,一般人AV,投稿AV,AV,2
55,AVの表現規制において、性器などを隠すために用いられるモザイク処理の種類で、映像全体に細かいドットを敷き詰めることで隠蔽する手法は何と呼ばれることが多いでしょう？,ドットモザイク,ブロックモザイク,ぼかしモザイク,砂嵐モザイク,AV,3
56,AVのジャンルの一つで、特定のフェティシズムに焦点を当てた作品のうち、足に性的魅力を感じるフェティシズムをテーマにしたものは何と呼ばれるでしょう？,足フェチAV,レッグフェチAV,フット fetish AV,美脚AV,AV,3
57,AVの販売形態において、近年主流となっているダウンロード販売において、購入者がファイルを入手する際に用いられる技術で、著作権保護の機能を持つものは何と呼ばれるでしょう？,DRM（デジタル著作権管理）,ストリーミング,P2P,ファイル共有,AV,3
58,AVのジャンルの一つで、複数の女性と一人の男性が性行為を行う作品のうち、参加者全員が合意の上で行われる性行為を描いたものは何と呼ばれることが多いでしょう？,ハーレムAV,集団AV,乱交AV,合同AV,AV,3
59,AVの歴史において、1990年代後半から2000年代初頭にかけて、よりリアルな性行為や出演者の素に近い表情を捉えることを重視したジャンルは何と呼ばれることが多かったでしょう？,生AV,ノンフィクションAV,ドキュメンタリーAV,リアルAV,AV,3
60,AVのジャンルの一つで、特定の職業や役割を演じる作品のうち、教師と生徒の関係を描いたものは何と呼ばれるでしょう？,教師ものAV,学園AV,制服AV,教育AV,AV,2
61,SM（サディズム・マゾヒズム）において、精神的な苦痛や屈辱を与えることで性的興奮を得るサディズムの形態は何と呼ばれるでしょう？,メンタルサディズム,フィジカルサディズム,ソフトサディズム,ハードサディズム,SM・BDSM,3
62,BDSM（ボンデージ・ディシプリン・サディズム・マゾヒズム）において、相手を拘束する際に用いられるロープの結び方や技術に特化した分野は何と呼ばれるでしょう？,縄師,緊縛師,拘束アーティスト,ロープアーティスト,SM・BDSM,3
63,SMプレイにおいて、Dom（ドム）がSub（サブ）に対して与える指示や命令のうち、日常生活における行動規範やルールを定めるものは何と呼ばれるでしょう？,ディシプリン,ルール,命令,課題,SM・BDSM,2
64,SMプレイにおいて、Sub（サブ）がDom（ドム）に対して服従や忠誠を示す行為のうち、Domの命令や指示に無条件に従う姿勢は何と呼ばれるでしょう？,絶対服従,忠誠心,隷属,献身,SM・BDSM,2
65,SMプレイにおいて、DomとSubの役割を状況によって変えることができるSwitch（スイッチ）の人が、どちらの役割を演じるかに迷う状態は何と呼ばれるでしょう？,スイッチ葛藤,ロールジレンマ,役割迷子,プレイスタイル迷走,SM・BDSM,3
66,SMプレイにおいて、ボンデージで使用されるロープの種類で、肌触りが良く、強度も高い天然素材のロープは何でしょう？,麻縄,綿縄,ナイロンロープ,ポリエステルロープ,SM・BDSM,3
67,SMプレイにおいて、痛みを与える道具の一つである鞭の種類で、複数の細い革紐が束ねられたものは何と呼ばれるでしょう？,キャットオナインテイルズ,シングルテール,パドル,クロップ,SM・BDSM,4
68,SM用語で、プレイ中に予期せぬ事態が発生したり、限界を感じたりした際に、プレイを中断するための合図として用いられる言葉は何が一般的でしょう？,レッド,イエロー,グリーン,ブラック,SM・BDSM,2
